ID;Titulo;Ruta_Archivo;Genero;Calificacion
040;Smakker Techno;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Smakker Techno.mp3;Techno;8
041;Sour Milk;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Sour Milk.mp3;Hard Techno;9
042;STAB;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\STAB.mp3;Hard Techno;9
043;The Last Airbender (VIP);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\The Last Airbender (VIP).mp3;Hardstyle;10
044;Victory Techno;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Victory Techno.mp3;Techno;7
045;VIEZE ASBAK & KRUELTY - BLOW IT UP | OFFICIAL VIDEOCLIP;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\VIEZE ASBAK & KRUELTY - BLOW IT UP | OFFICIAL VIDEOCLIP.mp3;Industrial Raw;10
046;Vlinder Vos - Op Dreef;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Vlinder Vos - Op Dreef.mp3;Hardstyle;8
047;Vlinderen;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Vlinderen.mp3;Hardstyle;8
048;WAR;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\WAR.mp3;Rawstyle;9
049;You Make Me Horny;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\You Make Me Horny.mp3;Hard Techno;9
050;Zwitserse Jodel;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Zwitserse Jodel.mp3;Hardstyle;8
051;Freddie Dredd - All Alone | (8D VERSION);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Freddie Dredd - All Alone | (8D VERSION).mp3;Phonk;7
052;N.W.A. - Boys In The Hood;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\N.W.A. - Boys In The Hood.mp3;Hip Hop;8
053;Alcolirykoz - El Despilfarro (Video oficial);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Alcolirykoz - El Despilfarro (Video oficial).mp3;Rap Colombiano;9
054;HDMI;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\HDMI.mp3;Cloud Rap;6
055;Kill Yourself (Part III);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Kill Yourself (Part III).mp3;Shadow Rap;7
056;Really Slow Motion - Deadwood (Epic Dark Rock Action);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Really Slow Motion - Deadwood (Epic Dark Rock Action).mp3;Dark Rock;8
057;XXXTENTACION - RIP Roach (Audio) (feat. $ki Mask The Slump God);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\XXXTENTACION - RIP Roach (Audio) (feat. $ki Mask The Slump God).mp3;Trap Metal;8
058;Xavier Wulf - " Psycho Pass " (Music Video);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Xavier Wulf - " Psycho Pass " (Music Video).mp3;Cloud Rap;7
059;GHOSTEMANE x PARV0 - I duckinf hatw you [Human Error EP];C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\GHOSTEMANE x PARV0 - I duckinf hatw you [Human Error EP].mp3;Industrial Trap;8
060;GHOSTEMANE - Mercury;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\GHOSTEMANE - Mercury.mp3;Trap Metal;9
061;Alcolirykoz - Rap, sexo y saxofón;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Alcolirykoz - Rap, sexo y saxofón.mp3;Rap Colombiano;9
062;GHOSTEMANE - Squeeze;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\GHOSTEMANE - Squeeze.mp3;Trap Metal;7
063;GHOSTEMANE - VENOM;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\GHOSTEMANE - VENOM.mp3;Trap Metal;8
064;$UICIDEBOY$ - PARIS;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\$UICIDEBOY$ - PARIS.mp3;Shadow Rap;9
065;Pouya & Ghostemane - 1000 Rounds [Music Video];C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Pouya & Ghostemane - 1000 Rounds [Music Video].mp3;Underground Rap;8
066;Stay With Me;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Stay With Me.mp3;Alternative Hip Hop;6
067;04. OmenXIII - LED (Produced By Grigoryan);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\04. OmenXIII - LED (Produced By Grigoryan).mp3;Dark Trap;7
068;Blood Oceans (How Many? );C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Blood Oceans (How Many? ).mp3;Trap Metal;8
069;GHOSTEMANE - Fed Up (AUDIO);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\GHOSTEMANE - Fed Up (AUDIO).mp3;Trap Metal;8
070;System Of A Down - Soldier Side (Official Audio);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\System Of A Down - Soldier Side (Official Audio).mp3;Alternative Metal;9
071;System of a Down - Lonely Day;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\System of a Down - Lonely Day.mp3;Alternative Metal;9
072;She's Like Heroin;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\She's Like Heroin.mp3;Alternative Metal;8
073;Vicinity Of Obscenity;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Vicinity Of Obscenity.mp3;Alternative Metal;7
074;Tentative;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Tentative.mp3;Alternative Metal;8
075;Stealing Society;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Stealing Society.mp3;Alternative Metal;8
076;System Of A Down - Hypnotize - Hypnotize - HQ (2005) Lyrics;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\System Of A Down - Hypnotize - Hypnotize - HQ (2005) Lyrics.mp3;Alternative Metal;9
077;Kill Rock 'n Roll;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Kill Rock 'n Roll.mp3;Alternative Metal;7
078;Dreaming;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Dreaming.mp3;Alternative Metal;8
079;Attack;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Attack.mp3;Alternative Metal;8
080;Beware - Deftones;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Beware - Deftones.mp3;Nu Metal;9
081;Root;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Root.mp3;Nu Metal;7
082;Deftones - Back To School (Mini Maggot) HD;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Deftones - Back To School (Mini Maggot) HD.mp3;Nu Metal;8
